Code,Area,Any neurotic disorder,All phobias,Depressive episode,Generalised anxiety disorder,Mixed anxiety depression,Obsessive compulsive disorder,Panic disorder,Any neurotic disorder,All phobias,Depressive episode,Generalised anxiety disorder,Mixed anxiety depression,Obsessive compulsive disorder,Panic disorder,Population 16-74
00BJ,Wandsworth,200.0561366,24.25130598,37.57137001,57.13411319,94.4247988,16.78961598,9.310640027,44013.15028,5335.384321,8265.851687,12569.73344,20773.83343,3693.782674,2048.378048,220004
00BK,Westminster,195.6535247,23.25408037,37.33582882,55.60944814,91.55288197,16.96792758,9.131798673,36581.92648,4347.885169,6980.791921,10397.46535,17117.917,3172.544323,1707.399793,186973
,,,,,,,,,,,,,,,,
A,North East,175.8877248,20.75591224,32.81885062,51.12954792,89.33007452,10.27951912,9.786763991,330386.271,38987.76026,61646.69927,96041.38491,167796.9867,19308.97676,18383.38897,1878393
B,North West,200.5588023,26.26892057,27.79415882,62.27998117,108.2015252,17.09802506,3.12554906,1000763.554,131078.6563,138689.406,310769.3833,539912.1936,85317.02487,15596.10224,4989876
D,Yorkshire and the Humber,166.3142121,18.71282311,29.80384376,47.07815985,85.38172445,9.607780717,8.107752684,620961.8855,69867.45012,111277.6279,175774.1718,318786.927,35872.25381,30271.64864,3733667
E,East Midlands,137.3689316,13.18739031,21.68761993,37.25707802,72.86064184,7.575671486,4.917558489,435443.7157,41802.51073,68747.2611,118100.6528,230959.8556,24014.00741,15588.09489,3169885
F,West Midlands,146.6768397,14.78548422,17.38776672,35.843532,88.09318202,8.938432643,1.541580915,568462.8132,57302.82966,67388.27213,138915.6944,341415.1696,34641.91469,5974.572578,3875614
G,East,169.7117042,16.12612869,27.92639607,36.64697639,98.9699752,11.11792824,9.740389432,684794.5331,65069.67106,112684.2927,147872.2355,399348.4026,44861.35189,39302.91942,4035046
H,London,182.0888768,21.82405408,35.24884297,53.17047225,84.35184348,15.47824453,8.482999128,1018113.173,122024.7899,197086.7852,297291.9552,471636.2938,86543.47766,47430.97606,5591298
J,South East,141.8691992,11.6727021,19.66173189,37.15759242,79.1024051,7.515577801,7.491219106,842154.8609,69290.74716,116714.7145,220572.522,469562.6346,44613.49195,44468.89542,5936136
K,South West,166.5127533,18.95482755,13.21244622,42.12091099,94.91555384,8.479231361,6.226545951,613165.7302,69799.16221,48653.4459,155105.832,349516.5609,31223.87917,22928.60168,3682395
,,,,,,,,,,,,,,,,
921,England,165.7322769,18.03149701,25.01574189,45.00785752,89.14960934,11.01574768,6.50393537,6114246.536,665223.5774,922888.5048,1660443.832,3288935.024,406396.3782,239945.1999,36892310
